mid,team,date,event_onset_s,event_class,depth,init_primary,init_floor,init_question,leader,leader_primary,leader_floor,leader_question,week
2024.12.09startup_a,startup_a,20241209,2957.0,TRANSITION,25.275107221416704,S2,S3,S2,S2,1,0,1.0,5
2024.12.09startup_a,startup_a,20241209,3327.0,INTERIOR_HANDOFF,22.701653531033983,S4,S4,S4,S2,0,0,0.0,5
2024.12.09startup_a,startup_a,20241209,3401.0,TRANSITION,25.114321129093632,S3,S3,S1,S2,0,0,0.0,5
2024.12.09startup_a,startup_a,20241209,3987.0,INTERIOR_OTHER,10.460464599130368,S1,S1,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,4117.0,INTERIOR_OTHER,-6.152447238056801,S1,S1,S1,S2,0,0,0.0,5
2024.12.09startup_a,startup_a,20241209,4161.0,INTERIOR_OTHER,27.001337601986577,S3,S1,S1,S2,0,0,0.0,5
2024.12.09startup_a,startup_a,20241209,4429.0,TRANSITION,20.997468793947093,S3,S3,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,4756.0,TRANSITION,-2.42250011789611,S2,S1,,S2,1,0,,5
2024.12.09startup_a,startup_a,20241209,4807.0,TRANSITION,-3.002338708960181,S1,S1,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,5056.0,INTERIOR_OTHER,17.467434900098915,S1,S2,S2,S2,0,1,1.0,5
2024.12.09startup_a,startup_a,20241209,5244.0,TRANSITION,15.516202067960322,S2,S1,,S2,1,0,,5
2024.12.13startup_a,startup_a,20241213,827.0,INTERIOR_OTHER,32.89671407892686,S2,S3,,S2,1,0,,6
2024.12.13startup_a,startup_a,20241213,1413.0,INTERIOR_HANDOFF,34.22308412037901,S3,S2,S2,S2,0,1,1.0,6
2024.12.13startup_a,startup_a,20241213,1720.0,INTERIOR_HANDOFF,14.759151343803936,S3,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,1948.0,TRANSITION,13.472762691384652,S1,S3,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,2577.0,TRANSITION,9.79901692737991,S2,S1,S1,S2,1,0,0.0,6
2024.12.13startup_a,startup_a,20241213,2638.0,TRANSITION,13.37538491362654,S1,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,2833.0,TRANSITION,22.88896894978558,S2,S3,,S2,1,0,,6
2024.12.13startup_a,startup_a,20241213,2983.0,TRANSITION,5.609149054626862,S1,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,3053.0,INTERIOR_HANDOFF,24.331715130092505,S3,S3,S3,S2,0,0,0.0,6
2024.12.13startup_a,startup_a,20241213,3101.0,TRANSITION,21.675783620116867,S3,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,3323.0,INTERIOR_OTHER,-0.0863256332875082,S1,S3,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,3588.0,INTERIOR_OTHER,1.1089743547294049,S1,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,3645.0,INTERIOR_HANDOFF,-2.501108202513052,S2,S1,,S2,1,0,,6
2024.12.13startup_a,startup_a,20241213,4025.0,TRANSITION,26.51609339688723,S1,S1,,S2,0,0,,6
2024.12.13startup_a,startup_a,20241213,4906.0,TRANSITION,4.924118187685622,S2,S2,,S2,1,1,,6
2024.12.13startup_a,startup_a,20241213,5092.0,TRANSITION,15.588624231893185,S3,S3,,S2,0,0,,6
2024.12.23startup_a,startup_a,20241223,82.0,INTERIOR_OTHER,10.197538933060702,S3,S3,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,120.0,INTERIOR_HANDOFF,14.490099766247294,S3,S1,S3,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,154.0,INTERIOR_OTHER,-19.955893288499205,S1,S1,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,234.0,INTERIOR_OTHER,-19.253907412120974,S1,S1,,S2,0,0,,7
2024.12.23startup_a,startup_a,20241223,1474.0,TRANSITION,26.128098081172727,S3,S3,S3,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,1689.0,INTERIOR_HANDOFF,13.025275509738737,S2,S2,S2,S2,1,1,1.0,7
2024.12.23startup_a,startup_a,20241223,1790.0,TRANSITION,19.535298819745666,S2,S2,S2,S2,1,1,1.0,7
2024.12.23startup_a,startup_a,20241223,1827.0,TRANSITION,26.071620413270555,S3,S3,S3,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,1845.0,TRANSITION,23.725523553171247,S1,S1,S3,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,2014.0,INTERIOR_OTHER,9.979119529662096,S3,S3,S3,S2,0,0,0.0,7
2024.12.23startup_a,startup_a,20241223,2046.0,INTERIOR_HANDOFF,20.59306650534106,S2,S2,,S2,1,1,,7
2024.12.23startup_a,startup_a,20241223,3322.0,TRANSITION,16.80394327889609,S3,S2,,S2,0,1,,7
