mid,stage,dur_s,entropy,det,rmse,reorg_rate,secs
2025.01.06startup_b,segue,178.0,60.03517877276304,61.653226969454266,13.966415728628146,18.53932584269663,178
2025.01.06startup_b,scorecard,55.0,56.53780445317829,64.92128494851312,9.663088099720252,1.8181818181818181,55
2025.01.06startup_b,rock_review,84.0,58.72065801479899,72.94667038658204,12.144687980688156,5.952380952380952,84
2025.01.06startup_b,todo,4074.0,47.4499794795638,81.65021004325746,7.030889011591208,4.148257241040746,4074
2025.01.06startup_b,ids,931.0,37.045071041958934,87.30298425189685,5.841335117496373,0.322234156820623,931
2025.01.06startup_b,conclude,40.0,50.783285396126935,55.11481390528762,,0.0,7
2025.01.13startup_a,segue,384.0,21.15175731781893,93.20829155484091,3.920869260690457,0.0,381
2025.01.13startup_a,rock_review,170.0,32.400289737184366,88.21351750104272,7.944653331170493,20.588235294117645,170
2025.01.13startup_a,headlines,139.0,40.57184610584281,84.93968616258486,6.209325449868878,4.316546762589928,139
2025.01.13startup_a,todo,390.0,35.376231046637244,89.3341949096686,4.191886233560621,0.0,390
2025.01.13startup_a,ids,4267.0,28.012334488330033,87.66100302691471,5.712006888501882,3.702835715959691,4267
2025.01.13startup_a,conclude,46.0,45.360696853316064,69.4348200269773,,0.0,12
2025.01.13startup_b,segue,110.0,29.000542561722323,84.61673004616185,10.585974693271703,13.636363636363635,110
2025.01.13startup_b,scorecard,96.0,43.389304523717804,76.26096292716025,11.252190418331608,15.625,96
2025.01.13startup_b,rock_review,515.0,40.35981186531714,86.5361418625413,7.123508527280614,2.7184466019417477,515
2025.01.13startup_b,todo,1367.0,35.94273224488604,78.11845416494623,7.399398173555963,4.09656181419166,1367
2025.01.13startup_b,ids,3254.0,24.068040051898105,87.91105856999451,5.78299172092196,2.427781192378611,3254
2025.01.13startup_b,conclude,75.0,45.343570498633106,58.949087546673866,9.408995917076593,0.0,42
2025.02.10startup_b,segue,276.0,52.867088225456826,64.2924345775802,17.896790446904845,29.71014492753623,276
2025.02.10startup_b,scorecard,74.0,36.313716852729684,80.3696214092402,7.795028873920917,0.0,74
2025.02.10startup_b,rock_review,541.0,62.53905528716558,74.83187903784822,7.697883027947788,0.18484288354898337,541
2025.02.10startup_b,todo,1343.0,48.52781043681291,81.528796055848,7.24038638530516,2.084884586746091,1343
2025.02.10startup_b,ids,3069.0,45.70429902222524,80.05782521769818,7.412827574963688,2.1831215379602478,3069
2025.02.10startup_b,conclude,50.0,81.16287805224684,69.82735174439604,21.483238252557403,13.043478260869565,23
2025.02.24startup_a,segue,675.0,37.07714820490563,79.65159475707866,8.124186345604054,4.776579352850539,649
2025.02.24startup_a,scorecard,376.0,40.02563107515791,79.83180910400269,8.29854925384035,3.1914893617021276,376
2025.02.24startup_a,rock_review,147.0,35.85043240221496,87.25579246171408,7.269693530587862,0.0,147
2025.02.24startup_a,todo,829.0,42.76582236805947,80.09479351836566,7.310318637874662,4.945717732207479,829
2025.02.24startup_a,ids,2984.0,28.201270187171048,84.92042783403132,6.99399754709791,2.714477211796247,2984
2025.02.24startup_a,conclude,122.0,43.497325564181494,70.8034276583938,11.314559246432365,11.11111111111111,90
2025.02.24startup_b,segue,487.0,32.82022288674073,88.89187982870875,7.176258240618454,5.338809034907597,487
2025.02.24startup_b,scorecard,575.0,41.372572430218135,79.476349783663,8.396027836636895,5.217391304347826,575
2025.02.24startup_b,todo,1127.0,40.61143293952317,81.50815209788031,7.17347404474331,2.3070097604259097,1127
2025.02.24startup_b,ids,2558.0,26.2766093512857,86.9562676917759,5.884789572224432,0.8600469116497262,2558
2025.02.24startup_b,conclude,268.0,22.38266100648749,91.86821574981269,4.5141586868374075,0.0,241
2025.03.02startup_a,segue,666.0,29.489357596552292,84.50863014382675,7.817237611921142,7.373271889400922,651
2025.03.02startup_a,headlines,923.0,21.912576653532284,88.07735977856,4.70278552306211,1.9501625135427951,923
2025.03.02startup_a,todo,833.0,34.17032831167588,89.54676237502794,4.693487250856873,0.4801920768307323,833
2025.03.02startup_a,ids,2755.0,28.187543505297675,87.05080216390617,5.722159666933467,2.613430127041742,2755
2025.03.02startup_a,conclude,71.0,49.49190780527058,48.29804516987956,5.592543784939148,0.0,39
2025.03.17startup_a,segue,178.0,30.48349550168499,76.21227964722551,14.56018708265662,18.53932584269663,178
2025.03.17startup_a,scorecard,220.0,16.05279797392828,93.14847595740943,4.903231551422699,0.9090909090909091,220
2025.03.17startup_a,rock_review,397.0,20.82894046750714,90.59157714247566,4.530562462091775,1.5113350125944585,397
2025.03.17startup_a,headlines,320.0,19.976551859255487,94.56032644201116,3.8846410011365835,0.9375,320
