mid,bin,entropy_g,det_g,rmse_g,liwc_lsm,liwc_posemo,liwc_negemo,liwc_cogproc
2024.10.14startup_b,4500,68.13694146021804,29.84791982349811,9.425968482919988,0.4727702883486596,0.07521969696969696,0.005694444444444444,0.23255339105339107
2024.10.14startup_b,4590,60.1768526221595,69.08256443817284,14.144025008082492,0.4736777050861402,0.060375041857350153,0.0017301038062283738,0.15209624233092253
2024.10.14startup_b,4680,71.21318896606697,23.79189657580307,8.074900858150226,0.47196925790450556,0.03802681992337165,0.004310344827586207,0.26420504782573745
2024.10.14startup_b,4770,62.84943682883406,31.04971525755303,9.728799445422046,0.4440082173866069,0.005920550038197096,0.013236763236763234,0.2164024849185277
2024.10.14startup_b,4860,57.24047250606452,53.601419069896686,13.599978356413466,0.4221918846963195,0.00852743271221532,0.00625,0.2229590280047946
2024.10.14startup_b,4950,56.7062041492348,60.225880692902464,9.545373978114625,0.5247816243366165,0.017971761354114296,0.003472222222222222,0.25609912055990486
2024.10.14startup_b,5040,53.05758697159445,65.37872936975447,9.150748374294729,0.39577511337561294,0.03840081653928708,0.0017889087656529517,0.17678019034519485
2024.10.14startup_b,5130,55.994334946509014,48.029878242959846,9.765912045470829,0.45437106982236486,0.04023704789833822,0.006308476469766793,0.1735659501788534
2024.10.14startup_b,5220,27.21197262482838,91.90244077679932,5.5675998106254445,0.5138111980074628,0.005333333333333334,0.010285714285714285,0.13514285714285715
2024.10.14startup_b,5310,13.734289018315629,95.44329517668072,4.187542710224339,0.5051955211086671,0.10299189648726281,0.023730422401518743,0.21726047456070188
2024.10.14startup_b,5400,33.0859778286819,89.17031737844383,6.5688339488166205,0.5762764768200273,0.1570175438596491,0.007309941520467836,0.12517056530214424
2024.10.25startup_a,0,22.460743115249027,92.07360689633161,5.547826196108757,0.47295163396948814,0.1265075504205939,0.005865102639296188,0.21359982628367324
2024.10.25startup_a,90,25.22411435247321,94.8395357502962,4.287474906890254,0.4867906336050034,0.19927536231884058,0.0,0.15516578831796224
2024.10.25startup_a,180,30.138205855114535,92.78636142918674,4.344217279895611,0.534114154179528,0.03235867446393762,0.0,0.14213311055416317
2024.10.25startup_a,270,26.27313035337385,94.80107676183262,3.4034938031260618,0.5410250803515905,0.025844525844525845,0.0,0.1751623690183012
